Employee_ID,Name,Age,Gender,Department,Experience,Salary,City
E001,Amit,24,Male,IT,2,42000,Bangalore
E002,Priya,29,Female,HR,5,55000,Mumbai
E003,Rahul,31,Male,Finance,7,68000,Delhi
E004,Sneha,27,Female,IT,4,52000,Hyderabad
E005,Rohan,35,Male,Marketing,10,75000,Pune
E006,Anjali,26,Female,Finance,3,49000,Chennai
E007,Vikram,32,Male,IT,8,,Bangalore
E008,Pooja,30,Female,HR,6,61000,Delhi
E009,Karan,25,Male,Marketing,2,43000,Mumbai
E010,Neha,28,Female,IT,5,57000,Hyderabad
E011,Arjun,34,Male,Finance,9,72000,Chennai
E012,Kavya,23,Female,HR,1,39000,Bangalore
E013,Manish,37,Male,Marketing,12,81000,Pune
E014,Divya,29,Female,IT,6,60000,Delhi
E015,Aditya,33,Male,Finance,8,70000,
E016,Nisha,24,Female,Marketing,2,41000,Mumbai
E017,Ritesh,36,Male,HR,11,78000,Chennai
E018,Meera,27,Female,Finance,4,53000,Hyderabad
E019,Sachin,31,Male,IT,7,65000,Bangalore
E020,Simran,26,Female,Marketing,3,47000,Pune
