Student_ID,Name,Gender,Math,Science,English,Attendance
S001,Rahul,Male,85,78,90,95
S002,Priya,Female,92,88,95,98
S003,Amit,Male,67,72,70,85
S004,Sneha,Female,78,81,76,90
S005,Rohan,Male,45,55,60,75
S006,Anjali,Female,88,91,89,96
S007,Vikram,Male,73,,80,88
S008,Pooja,Female,95,96,94,99
S009,Karan,Male,56,60,,80
S010,Neha,Female,81,79,85,92
S011,Arjun,Male,64,58,62,83
S012,Kavya,Female,90,93,91,97
S013,Manish,Male,38,45,42,70
S014,Divya,Female,76,82,79,91
S015,Aditya,Male,84,87,86,
S016,Nisha,Female,69,73,71,86
S017,Ritesh,Male,58,61,59,82
S018,Meera,Female,97,98,96,100
S019,Sachin,Male,80,77,83,89
S020,Simran,Female,87,85,88,94
