Student_ID,Name,Gender,Math,Science,English,Attendance,Average_Marks,Total,Percentage,Grade
S018,Meera,Female,97,98.0,96.0,100.0,97.0,291.0,97.0,A
S008,Pooja,Female,95,96.0,94.0,99.0,95.0,285.0,95.0,A
S002,Priya,Female,92,88.0,95.0,98.0,91.66666666666667,275.0,91.66666666666666,A
S012,Kavya,Female,90,93.0,91.0,97.0,91.33333333333333,274.0,91.33333333333333,A
S006,Anjali,Female,88,91.0,89.0,96.0,89.33333333333333,268.0,89.33333333333333,B
S020,Simran,Female,87,85.0,88.0,94.0,86.66666666666667,260.0,86.66666666666667,B
S015,Aditya,Male,84,87.0,86.0,90.0,85.66666666666667,257.0,85.66666666666667,B
S001,Rahul,Male,85,78.0,90.0,95.0,84.33333333333333,253.0,84.33333333333334,B
S010,Neha,Female,81,79.0,85.0,92.0,81.66666666666667,245.0,81.66666666666667,B
S019,Sachin,Male,80,77.0,83.0,89.0,80.0,240.0,80.0,B
S014,Divya,Female,76,82.0,79.0,91.0,79.0,237.0,79.0,C
S004,Sneha,Female,78,81.0,76.0,90.0,78.33333333333333,235.0,78.33333333333333,C
S007,Vikram,Male,73,79.0,80.0,88.0,77.33333333333333,232.0,77.33333333333333,C
S016,Nisha,Female,69,73.0,71.0,86.0,71.0,213.0,71.0,C
S003,Amit,Male,67,72.0,70.0,85.0,69.66666666666667,209.0,69.66666666666667,D
S009,Karan,Male,56,60.0,83.0,80.0,66.33333333333333,199.0,66.33333333333333,D
S011,Arjun,Male,64,58.0,62.0,83.0,61.333333333333336,184.0,61.33333333333333,D
S017,Ritesh,Male,58,61.0,59.0,82.0,59.333333333333336,178.0,59.333333333333336,E
S005,Rohan,Male,45,55.0,60.0,75.0,53.333333333333336,160.0,53.333333333333336,E
S013,Manish,Male,38,45.0,42.0,70.0,41.666666666666664,125.0,41.66666666666667,F
